City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vaini,-21.2,-175.2,24.09,100,75,1.54,TO,1681148337
1,khatanga,71.9667,102.5,-21.22,100,100,1.84,RU,1681148833
2,rikitea,-23.1203,-134.9692,24.26,74,38,3.92,PF,1681148834
3,ahipara,-35.1667,173.1667,15.67,92,30,2.96,NZ,1681148338
4,ribeira grande,38.5167,-28.7,19.22,72,20,4.02,PT,1681148338
5,mataura,-46.1927,168.8643,11.38,99,100,0.77,NZ,1681148834
6,cape town,-33.9258,18.4232,17.27,56,40,1.54,ZA,1681148327
7,pergamino,-33.89,-60.5736,29.54,37,32,3.28,AR,1681148338
8,kraslava,55.8951,27.168,10.16,80,85,2.14,LV,1681148338
9,tatvan,38.5067,42.2817,6.16,93,100,2.29,TR,1681148339
10,shache,38.4167,77.2406,17.62,17,1,4.75,CN,1681148339
11,nikolskoye,59.7035,30.7861,4.95,91,94,2.2,RU,1681148339
12,esperance,-33.8667,121.9,17.26,69,48,6.34,AU,1681148339
13,bagotville,-28.9833,153.4167,12.02,73,0,2.76,AU,1681148339
14,ushuaia,-54.8,-68.3,6.81,61,75,2.57,AR,1681148836
15,tinskoy,56.1525,96.9161,0.88,73,100,5.64,RU,1681148339
16,mehamn,71.0357,27.8492,2.97,93,75,8.23,NO,1681148340
17,hirara,24.8,125.2833,19.15,77,75,1.54,JP,1681148340
18,isangel,-19.55,169.2667,26.36,87,2,2.54,VU,1681148053
19,yerbogachen,61.2767,108.0108,-26.3,100,45,1.43,RU,1681148340
20,butaritari,3.0707,172.7902,27.1,81,88,6.23,KI,1681148340
21,upernavik,72.7868,-56.1549,-16.64,85,91,6.91,GL,1681148340
22,kununurra,-15.7667,128.7333,24.99,100,75,0.0,AU,1681148837
23,albany,42.6001,-73.9662,17.58,23,20,1.34,US,1681148749
24,constitucion,-35.3333,-72.4167,19.63,69,100,4.68,CL,1681148837
25,navolato,24.7672,-107.6944,33.99,11,90,3.53,MX,1681148837
26,kaoma,-14.7833,24.8,20.35,70,100,0.67,ZM,1681148838
27,bereda,43.2686,-7.5406,16.75,75,100,2.02,ES,1681148838
28,herborn,50.6833,8.3167,13.68,43,0,5.66,DE,1681148838
29,busselton,-33.65,115.3333,16.17,68,65,5.63,AU,1681148839
30,wanaka,-44.7,169.15,11.73,93,100,0.45,NZ,1681148839
31,seoul,37.5683,126.9778,13.78,46,0,4.12,KR,1681148772
32,georgetown,5.4112,100.3354,27.96,83,20,2.06,MY,1681148744
33,yumen,40.2833,97.2,7.84,27,93,1.43,CN,1681148839
34,hobart,-42.8794,147.3294,11.81,89,75,4.63,AU,1681148732
35,puerto ayora,-0.7393,-90.3518,30.98,83,29,3.13,EC,1681148704
36,yulara,-25.2406,130.9889,24.59,32,55,4.01,AU,1681148840
37,kaitangata,-46.2817,169.8464,13.26,99,100,1.85,NZ,1681148840
38,severo-kurilsk,50.6789,156.125,-1.21,94,99,18.68,RU,1681148840
39,faanui,-16.4833,-151.75,27.68,73,89,5.63,PF,1681148840
40,jamestown,42.097,-79.2353,17.81,18,0,3.09,US,1681148841
41,pisco,-13.7,-76.2167,26.03,69,0,4.12,PE,1681148841
42,kodiak,57.79,-152.4072,-3.27,43,0,10.29,US,1681148841
43,bredasdorp,-34.5322,20.0403,14.91,64,85,5.2,ZA,1681148841
44,barrow,71.2906,-156.7887,-17.99,78,100,5.66,US,1681148841
45,pacific grove,36.6177,-121.9166,21.88,83,0,1.79,US,1681148755
46,zhezkazgan,47.8043,67.7144,10.93,56,90,3.48,KZ,1681148842
47,atuona,-9.8,-139.0333,26.99,80,26,7.62,PF,1681148842
48,luderitz,-26.6481,15.1594,17.7,54,0,13.73,NA,1681148842
49,victoria,22.2855,114.1577,24.03,90,99,4.89,HK,1681148842
50,rakaia,-43.75,172.0167,13.54,76,100,4.07,NZ,1681148842
51,okhotsk,59.3833,143.3,-14.5,66,0,9.42,RU,1681148843
