City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,alenquer,-1.9417,-54.7383,24.23,94,74,1.15,BR,1681256248
1,rikitea,-23.1203,-134.9692,24.76,71,100,3.0,PF,1681256248
2,bluff,-46.6,168.3333,11.56,91,100,10.09,NZ,1681256248
3,dingle,10.9995,122.6711,25.53,72,100,1.1,PH,1681256249
4,ribeira grande,38.5167,-28.7,15.43,88,100,4.92,PT,1681256249
5,atuona,-9.8,-139.0333,27.37,77,96,6.93,PF,1681256249
6,nikolskoye,59.7035,30.7861,4.95,88,100,1.5,RU,1681256250
7,nome,64.5011,-165.4064,-14.91,60,0,4.12,US,1681256250
8,beihai,21.4833,109.1,23.72,87,99,5.4,CN,1681256250
9,okha,53.5739,142.9478,-1.75,75,76,10.1,RU,1681256251
10,port alfred,-33.5906,26.891,12.88,84,100,1.79,ZA,1681256251
11,ust-barguzin,53.45,108.9833,-5.12,70,76,1.48,RU,1681256251
12,hilo,19.7297,-155.09,26.85,69,0,5.66,US,1681256251
13,georgetown,5.4112,100.3354,27.96,94,20,1.54,MY,1681256208
14,george town,5.4112,100.3354,27.96,94,20,1.54,MY,1681256252
15,batagay-alyta,67.8006,130.4114,-18.42,87,64,1.34,RU,1681256252
16,lamesa,32.7376,-101.951,28.07,23,1,5.3,US,1681256252
17,kapaa,22.0752,-159.319,26.22,72,100,7.72,US,1681256253
18,praia,14.9215,-23.5087,22.3,64,40,6.69,CV,1681256253
19,punta arenas,-53.15,-70.9167,4.06,56,40,4.12,CL,1681256253
20,lingyuan,41.24,119.4011,9.22,12,0,7.14,CN,1681256253
21,nanortalik,60.1432,-45.2371,-0.84,89,95,3.13,GL,1681256253
22,bonthe,7.5264,-12.505,24.66,85,66,1.67,SL,1681256253
23,dong hoi,17.4833,106.6,24.97,88,67,2.76,VN,1681256253
24,port blair,11.6667,92.75,26.82,77,98,2.6,IN,1681256254
25,bambous virieux,-20.3428,57.7575,25.68,94,75,2.06,MU,1681256254
26,dikson,73.5069,80.5464,-24.46,95,98,7.68,RU,1681256254
27,hamilton,39.1834,-84.5333,22.97,34,0,4.63,US,1681256093
28,nadym,65.5333,72.5167,-25.69,99,39,3.54,RU,1681256255
29,new norfolk,-42.7826,147.0587,13.73,70,55,0.45,AU,1681256255
30,albany,42.6001,-73.9662,21.23,53,100,6.13,US,1681255957
31,vaini,-21.2,-175.2,30.09,74,75,5.66,TO,1681256256
32,hermanus,-34.4187,19.2345,9.89,74,76,4.77,ZA,1681256256
33,olafsvik,64.8945,-23.7142,4.52,86,100,4.52,IS,1681256256
34,saint george,37.1041,-113.5841,31.33,14,0,9.26,US,1681256256
35,victoria,22.2855,114.1577,24.41,90,77,1.61,HK,1681256148
36,cherskiy,68.75,161.3,-18.43,88,80,1.5,RU,1681256256
37,iracoubo,5.4802,-53.2011,25.7,86,92,3.63,GF,1681256257
38,dunedin,-45.8742,170.5036,12.93,92,100,3.26,NZ,1681256257
39,severo-kurilsk,50.6789,156.125,-0.8,68,92,6.57,RU,1681256258
40,newport,51.5877,-2.9984,8.06,85,54,9.07,GB,1681256258
41,mehamn,71.0357,27.8492,0.97,75,100,5.14,NO,1681256258
42,port lincoln,-34.7333,135.8667,17.07,62,13,9.67,AU,1681256258
43,busselton,-33.65,115.3333,18.67,77,42,4.89,AU,1681256258
44,namatanai,-3.6667,152.4333,29.08,68,90,2.96,PG,1681256259
45,pontes e lacerda,-15.2261,-59.3353,23.43,93,100,1.24,BR,1681256259
46,port elizabeth,-33.918,25.5701,12.4,85,0,1.03,ZA,1681256259
47,avarua,-21.2078,-159.775,28.03,61,73,5.66,CK,1681256259
48,changping,40.2186,116.2197,6.8,15,0,0.07,CN,1681256259
49,mataura,-46.1927,168.8643,11.38,99,100,1.74,NZ,1681256259
50,kismayo,-0.3582,42.5454,27.73,78,48,5.6,SO,1681256260
51,marzuq,14.4,46.4667,21.8,51,4,2.22,YE,1681256260
52,esperance,-33.8667,121.9,18.08,67,0,5.33,AU,1681256260
53,makakilo city,21.3469,-158.0858,28.18,58,40,11.32,US,1681256260
54,chapais,49.7834,-74.8492,2.88,96,100,7.58,CA,1681256260
55,provideniya,64.3833,-173.3,-17.94,60,0,8.0,RU,1681256261
56,cayenne,4.9333,-52.3333,27.02,83,75,2.06,GF,1681256261
57,alta floresta,-9.8756,-56.0861,21.6,98,68,1.57,BR,1681256261
58,kunming,25.0389,102.7183,11.96,50,0,4.0,CN,1681256261
59,kijang,35.2442,129.2139,13.85,24,18,1.56,KR,1681256261
60,flers,48.7372,-0.5747,7.14,97,100,5.79,FR,1681256262
61,kavieng,-2.5744,150.7967,28.69,72,100,6.8,PG,1681256262
62,bredasdorp,-34.5322,20.0403,12.09,75,66,1.46,ZA,1681256262
63,ushuaia,-54.8,-68.3,1.81,80,75,8.75,AR,1681256262
64,hobart,-42.8794,147.3294,13.92,89,75,1.03,AU,1681256262
65,east london,-33.0153,27.9116,15.47,64,99,2.83,ZA,1681255964
66,riviere-au-renard,48.9957,-64.3971,3.16,97,99,3.95,CA,1681256263
67,panaba,21.2833,-88.2667,25.13,69,38,5.59,MX,1681256263
68,jamestown,42.097,-79.2353,17.8,36,0,8.75,US,1681256068
69,puerto ayora,-0.7393,-90.3518,27.53,87,66,1.79,EC,1681256263
70,arraial do cabo,-22.9661,-42.0278,24.92,73,75,5.66,BR,1681256263
71,piet retief,-27.0071,30.8132,12.1,97,99,1.27,ZA,1681256263
72,bengkulu,-3.8004,102.2655,24.34,87,100,1.38,ID,1681256264
73,constitucion,-35.3333,-72.4167,13.47,95,91,3.64,CL,1681256264
74,leshukonskoye,64.8989,45.7622,0.08,98,100,2.99,RU,1681256264
75,ilulissat,69.2167,-51.1,6.01,42,20,5.66,GL,1681256264
76,sokoni,-6.4333,39.55,26.92,82,83,1.47,TZ,1681256264
77,uyskoye,54.3775,60.0047,1.51,64,15,1.66,RU,1681256264
78,iqaluit,63.7506,-68.5145,-7.15,86,100,9.77,CA,1681256265
79,aksu,41.1231,80.2644,10.54,43,61,2.89,CN,1681256265
80,gonaives,19.45,-72.6833,27.33,66,10,2.19,HT,1681256265
81,santiago del estero,-27.7951,-64.2615,24.47,61,1,2.9,AR,1681256265
82,alofi,-19.0595,-169.9187,27.94,69,75,6.17,NU,1681256265
83,rongcheng,30.634,117.8517,17.26,70,28,3.94,CN,1681256265
84,kodiak,57.79,-152.4072,5.73,81,100,4.12,US,1681256265
85,bethel,41.3712,-73.414,22.05,20,0,4.12,US,1681256161
86,mount gambier,-37.8333,140.7667,16.82,82,79,5.25,AU,1681256266
87,maceio,-9.6658,-35.7353,24.69,88,0,2.57,BR,1681256032
88,miri,4.4148,114.0089,25.08,94,40,0.0,MY,1681256266
89,yellowknife,62.456,-114.3525,-6.71,73,100,3.6,CA,1681256266
90,aquiraz,-3.9014,-38.3911,27.32,87,100,2.64,BR,1681256266
91,snina,48.9886,22.151,7.42,84,98,3.0,SK,1681256266
92,cape town,-33.9258,18.4232,16.32,70,0,2.68,ZA,1681256267
93,lebu,-37.6167,-73.65,13.92,95,100,0.97,CL,1681256267
94,airai,-8.9266,125.4092,20.06,73,78,0.82,TL,1681256267
95,longyearbyen,78.2186,15.6401,-2.09,93,75,0.51,SJ,1681256267
96,almeria,37.1667,-2.3333,16.91,24,9,2.67,ES,1681256267
97,narsaq,60.9167,-46.05,1.12,94,100,0.36,GL,1681256267
98,clyde river,70.4692,-68.5914,-16.87,85,100,10.8,CA,1681256268
99,bibai,43.3247,141.8586,12.88,88,100,6.3,JP,1681256268
100,chuy,-33.6971,-53.4616,20.57,63,56,1.83,UY,1681256265
101,tamandare,-8.7597,-35.1047,26.25,76,100,2.79,BR,1681256268
102,oksfjord,70.2396,22.3479,2.1,85,11,4.66,NO,1681256268
103,contamana,-7.3333,-75.0167,25.83,77,84,0.95,PE,1681256268
104,parabel,58.6978,81.4825,-10.61,94,88,2.86,RU,1681256268
105,pak phanang,8.3511,100.202,26.01,81,26,1.84,TH,1681256269
106,jabinyanah,35.035,10.9081,13.89,68,2,4.98,TN,1681256269
107,upernavik,72.7868,-56.1549,-14.73,93,32,3.25,GL,1681256269
108,port hardy,50.6996,-127.4199,7.1,61,75,2.57,CA,1681256269
109,saint-philippe,-21.3585,55.7679,23.77,80,4,2.98,RE,1681256269
110,vaitape,-16.5167,-151.75,27.72,73,100,3.08,PF,1681256269
111,orumiyeh,37.5527,45.0761,9.75,87,100,2.06,IR,1681256270
112,arlit,18.7369,7.3853,26.99,19,67,3.92,NE,1681256270
113,los llanos de aridane,28.6585,-17.9182,18.86,68,58,8.75,ES,1681256270
114,chitral,35.8462,71.7858,11.65,49,0,3.19,PK,1681256270
115,poum,-20.2333,164.0167,26.34,76,1,1.59,NC,1681256270
116,mar del plata,-38.0023,-57.5575,17.83,96,100,2.24,AR,1681255990
117,omboue,-1.5746,9.2618,26.06,85,100,1.0,GA,1681256270
118,tasiilaq,65.6145,-37.6368,2.09,98,100,1.2,GL,1681256271
119,hithadhoo,-0.6,73.0833,27.94,71,19,0.32,MV,1681256271
120,paita,-5.0892,-81.1144,27.33,76,80,4.55,PE,1681256271
121,phuket,8.0,98.25,27.12,89,20,0.0,TH,1681256044
122,hauterive,46.0901,3.4459,14.42,76,98,2.81,FR,1681256271
123,talnakh,69.4865,88.3972,-24.41,97,100,2.14,RU,1681256271
124,ponta do sol,32.6667,-17.1,19.45,81,0,2.73,PT,1681256271
125,nizhniy tsasuchey,50.5167,115.1333,-1.2,38,0,2.42,RU,1681256272
126,ambanja,-13.6833,48.45,23.17,92,38,1.48,MG,1681256272
127,teeli,51.0333,90.2333,-0.6,76,84,3.83,RU,1681256272
128,sola,-13.8833,167.55,28.3,75,60,5.66,VU,1681256272
129,nemuro,43.3236,145.575,5.77,98,100,10.98,JP,1681256047
130,langsa,4.4683,97.9683,24.45,88,72,0.93,ID,1681256036
131,thompson,55.7435,-97.8558,7.09,57,75,4.63,CA,1681256210
132,aasiaat,68.7098,-52.8699,-9.33,98,43,2.69,GL,1681256273
133,port-gentil,-0.7193,8.7815,25.98,100,20,0.0,GA,1681256273
134,san cristobal,7.7669,-72.225,24.1,87,88,0.71,VE,1681256273
135,qaanaaq,77.484,-69.3632,-22.86,75,0,1.47,GL,1681256273
136,padang,-0.9492,100.3543,25.03,89,99,1.22,ID,1681256233
137,cidreira,-30.1811,-50.2056,23.17,86,26,7.08,BR,1681256273
138,tiznit,29.5833,-9.5,22.32,17,0,0.6,MA,1681256274
139,baghdad,33.3406,44.4009,19.95,88,75,8.75,IQ,1681256029
140,luanshya,-13.1367,28.4166,17.72,96,98,1.57,ZM,1681256274
141,tolaga bay,-38.3667,178.3,22.37,52,96,1.01,NZ,1681256274
142,marawi,7.9986,124.2928,24.59,70,41,0.63,PH,1681256274
143,pontianak,-0.0333,109.3333,23.99,94,40,1.03,ID,1681256274
144,ancud,-41.8697,-73.8203,12.57,94,97,0.79,CL,1681256274
145,sabang,5.8933,95.3214,27.88,74,93,0.89,ID,1681256275
146,roald,62.5833,6.1333,9.31,93,75,2.06,NO,1681256275
147,rawson,-43.3002,-65.1023,10.73,66,54,5.98,AR,1681256275
148,barrow,71.2906,-156.7887,-21.99,84,100,4.12,US,1681256275
149,allauch,43.3357,5.482,13.51,77,98,0.45,FR,1681256275
150,kaitangata,-46.2817,169.8464,12.26,97,100,2.98,NZ,1681256275
151,tuktoyaktuk,69.4541,-133.0374,-17.0,78,100,6.69,CA,1681256275
152,port augusta,-32.5,137.7667,21.2,50,7,8.02,AU,1681256276
153,vestmannaeyjar,63.4427,-20.2734,5.43,75,63,2.21,IS,1681256276
154,mahebourg,-20.4081,57.7,25.7,94,75,2.06,MU,1681256276
155,luderitz,-26.6481,15.1594,14.33,84,29,4.55,NA,1681256276
156,san patricio,28.017,-97.5169,25.3,53,15,4.38,US,1681256276
157,dabwali,29.95,74.7333,24.66,31,56,2.14,IN,1681256277
158,chokurdakh,70.6333,147.9167,-19.76,87,54,1.55,RU,1681256277
159,borba,-4.3878,-59.5939,23.89,94,84,1.15,BR,1681256277
160,intipuca,13.1969,-88.0544,33.94,62,46,3.18,SV,1681256277
161,cairns,-16.9167,145.7667,31.15,76,85,2.57,AU,1681256277
162,haputale,6.7681,80.9595,14.69,75,10,2.03,LK,1681256277
163,saint-augustin,51.226,-58.6502,0.85,99,100,1.68,CA,1681256277
164,cap malheureux,-19.9842,57.6142,25.82,80,91,0.89,MU,1681256278
165,umm lajj,25.0213,37.2685,24.16,65,100,5.31,SA,1681256278
166,kalmunai,7.4167,81.8167,25.8,82,26,1.11,LK,1681256278
167,fedorovskoye,59.6631,30.5322,4.74,83,100,1.81,RU,1681256278
168,mitsamiouli,-11.3847,43.2844,27.23,76,66,3.25,KM,1681256278
169,iglesias,39.3114,8.535,12.66,89,100,0.9,IT,1681256278
170,el tocuyo,9.7873,-69.7937,27.69,56,99,0.3,VE,1681256279
171,ossora,59.2353,163.0719,-11.22,73,91,2.83,RU,1681256279
172,motozintla,15.3667,-92.2333,21.54,61,40,0.89,MX,1681256279
173,pimentel,-6.8367,-79.9342,29.16,65,75,5.66,PE,1681256279
174,kavaratti,10.5669,72.642,28.69,74,3,3.58,IN,1681256279
175,isangel,-19.55,169.2667,30.06,84,75,0.0,VU,1681256279
176,waipawa,-41.4122,175.5153,17.87,57,29,5.02,NZ,1681256279
177,kloulklubed,7.0419,134.2556,28.28,77,97,4.34,PW,1681256280
178,tuatapere,-46.1333,167.6833,12.74,95,100,3.97,NZ,1681256280
179,butaritari,3.0707,172.7902,27.92,75,100,5.61,KI,1681256280
180,laguna,38.421,-121.4238,24.23,47,0,5.66,US,1681256280
181,ciechanow,52.8814,20.62,8.01,97,100,2.49,PL,1681256280
182,kargasok,59.0556,80.8572,-11.65,95,70,3.19,RU,1681256281
183,coquimbo,-29.9533,-71.3436,16.85,94,75,2.57,CL,1681255996
184,karonga,-9.9333,33.9333,20.73,96,63,1.36,MW,1681256281
185,kalanguy,51.0167,116.5167,-6.17,69,4,1.58,RU,1681256281
186,nouadhibou,20.931,-17.0347,18.99,94,75,2.57,MR,1681256281
187,mecca,21.4267,39.8261,28.82,33,3,0.41,SA,1681256281
188,grand gaube,-20.0064,57.6608,25.77,80,76,0.89,MU,1681256282
189,sao joaquim,-28.2939,-49.9317,12.03,89,34,1.41,BR,1681256282
190,coahuayana,18.7333,-103.6833,27.93,50,3,2.58,MX,1681256282
191,minas,-34.3759,-55.2377,19.38,70,90,3.22,UY,1681256126
192,santa isabel do rio negro,-0.4139,-65.0192,24.09,97,99,0.95,BR,1681256283
193,beringovskiy,63.05,179.3167,-16.8,84,100,6.04,RU,1681256283
194,malakal,9.5334,31.6605,31.0,39,93,3.24,SS,1681256283
195,svetlogorsk,52.6333,29.7333,8.49,67,100,3.69,BY,1681256283
196,yulara,-25.2406,130.9889,27.0,34,100,7.51,AU,1681256283
197,majene,-3.5403,118.9707,29.04,71,34,3.48,ID,1681256284
198,watertown,42.3709,-71.1828,22.16,22,0,8.75,US,1681256150
199,paamiut,61.994,-49.6678,-2.07,87,97,1.43,GL,1681256284
200,krapina,46.1608,15.8789,10.21,92,98,0.74,HR,1681256284
201,ulaangom,49.9811,92.0667,-7.89,71,53,1.53,MN,1681256284
202,challapata,-18.9,-66.7667,10.65,48,14,2.9,BO,1681256284
203,mayo,38.8876,-76.5119,24.23,54,0,3.6,US,1681256285
204,teavaro,-17.5,-149.7667,31.71,62,75,4.63,PF,1681256285
205,korsakovo,53.2677,37.3569,7.8,59,100,3.58,RU,1681256285
206,kholm-zhirkovskiy,55.5189,33.4731,6.47,72,33,1.36,RU,1681256285
207,tiksi,71.6872,128.8694,-22.61,100,100,0.44,RU,1681256285
208,luganville,-15.5333,167.1667,30.41,70,32,1.71,VU,1681256285
209,uvat,59.1433,68.8953,-3.0,93,53,2.87,RU,1681256286
210,kosai,34.7105,137.5316,21.59,63,81,5.28,JP,1681256286
211,shimoda,34.6667,138.95,19.2,76,79,8.23,JP,1681256286
212,pisco,-13.7,-76.2167,24.03,78,0,7.72,PE,1681256287
213,balabac,7.9868,117.0645,28.09,72,86,2.78,PH,1681256287
214,sao borja,-28.6606,-56.0044,23.86,53,4,2.18,BR,1681256287
215,carnarvon,-24.8667,113.6333,22.37,58,73,9.25,AU,1681256287
216,demba,-5.51,22.2667,19.61,99,100,0.78,CD,1681256288
217,leningradskiy,69.3833,178.4167,-16.56,87,97,3.89,RU,1681256288
218,bandarbeyla,9.4942,50.8122,26.68,81,22,3.99,SO,1681256288
219,san jose,37.3394,-121.895,21.4,46,75,8.75,US,1681256047
220,maningrida,-12.0667,134.2667,28.36,76,89,2.07,AU,1681256288
221,samarai,-10.6167,150.6667,28.56,73,96,1.24,PG,1681256288
222,ames,42.0347,-93.6199,26.47,33,0,8.23,US,1681255992
223,guarapari,-20.6667,-40.4975,24.38,82,90,0.85,BR,1681256003
224,baymak,52.5933,58.3225,1.75,79,4,1.83,RU,1681256289
225,ouango,4.3133,22.5552,20.51,98,100,1.99,CF,1681256289
226,faanui,-16.4833,-151.75,27.72,73,99,3.06,PF,1681256289
227,mabamba,-3.5983,30.5019,16.74,93,83,0.87,TZ,1681256289
228,fort saint james,54.4333,-124.25,4.9,76,100,1.7,CA,1681256290
229,istanbul,41.0351,28.9833,9.68,87,75,8.23,TR,1681256107
230,katsuura,35.1333,140.3,19.01,79,100,12.08,JP,1681256290
231,czersk,53.7959,17.9765,7.48,88,100,2.27,PL,1681256290
232,grindavik,63.8424,-22.4338,4.26,87,75,5.14,IS,1681256290
233,palauig,15.435,119.9045,27.32,76,87,2.01,PH,1681256290
234,umba,66.6871,34.3429,-2.74,99,94,1.31,RU,1681256290
235,champerico,14.3,-91.9167,32.3,63,5,5.23,GT,1681256291
236,saldanha,-33.0117,17.9442,10.03,79,72,4.48,ZA,1681256291
237,meridian,43.6121,-116.3915,15.53,40,20,8.23,US,1681256291
238,ambovombe,-25.1667,46.0833,21.28,91,71,2.42,MG,1681256292
239,tura,25.5198,90.2201,21.12,24,0,1.33,IN,1681256292
240,belmonte,-15.8631,-38.8828,24.38,88,45,2.08,BR,1681256292
241,husavik,66.0449,-17.3389,2.83,85,55,3.54,IS,1681256292
242,moura,38.1401,-7.4486,14.06,91,4,2.3,PT,1681256293
243,tanout,14.9709,8.8879,26.77,18,65,7.61,NE,1681256293
244,eenhana,-17.4667,16.3333,22.67,33,98,1.44,NA,1681256209
245,qinzhou,21.95,108.6167,23.05,91,100,0.82,CN,1681256293
246,karpathos,35.507,27.2132,13.98,72,13,11.32,GR,1681256294
247,cooma,-36.2333,149.1333,9.99,85,86,1.3,AU,1681256295
248,lompoc,34.6391,-120.4579,21.5,77,75,11.62,US,1681256000
249,henties bay,-22.116,14.2845,15.22,81,0,1.9,NA,1681256295
250,russell,32.3502,-85.1999,22.78,35,0,2.57,US,1681256051
251,souillac,-20.5167,57.5167,25.21,94,75,2.06,MU,1681256295
252,sao filipe,14.8961,-24.4956,22.16,70,76,3.89,CV,1681256295
253,khatanga,71.9667,102.5,-14.99,82,100,6.21,RU,1681256296
254,kununurra,-15.7667,128.7333,24.99,100,99,2.06,AU,1681256296
255,thinadhoo,0.5333,72.9333,27.77,73,27,1.39,MV,1681256296
256,takoradi,4.8845,-1.7554,25.19,91,87,1.66,GH,1681256296
257,salalah,17.0151,54.0924,28.05,74,40,2.57,OM,1681256166
258,torbay,47.6666,-52.7314,4.43,49,75,4.12,CA,1681256153
259,lata,40.1629,-8.3327,11.71,91,73,0.94,PT,1681256297
260,udachnyy,66.4167,112.4,-9.75,51,100,12.16,RU,1681256297
261,roswell,34.0232,-84.3616,21.88,28,0,4.63,US,1681256297
262,fortuna,40.5982,-124.1573,13.29,66,5,2.24,US,1681256298
263,dakar,14.6937,-17.4441,21.07,88,0,5.14,SN,1681256298
264,broome,42.2506,-75.833,20.21,27,75,5.14,US,1681256250
265,pangnirtung,66.1451,-65.7125,-11.99,84,88,1.33,CA,1681256298
266,ahipara,-35.1667,173.1667,19.09,85,92,7.39,NZ,1681256298
267,houma,29.5958,-90.7195,20.0,87,100,4.63,US,1681256299
268,codrington,-38.2667,141.9667,17.16,81,100,7.45,AU,1681256299
269,zeya,53.75,127.2667,1.22,76,75,1.51,RU,1681256299
270,otradnoye,59.7775,30.8181,5.05,90,100,1.64,RU,1681256300
271,japura,-0.3167,102.35,23.72,96,73,0.35,ID,1681256300
272,oyama,36.3,139.8,19.77,43,100,4.36,JP,1681256300
273,guerrero negro,27.9769,-114.0611,17.81,67,0,9.12,MX,1681256300
274,camacha,33.0833,-16.3333,15.68,77,40,2.06,PT,1681256301
275,ismailia,30.6043,32.2723,14.0,72,88,5.87,EG,1681256301
276,nizhniy odes,63.6445,54.856,-0.66,98,100,2.94,RU,1681256301
